date,sensor_temp_mean,sensor_salinity_min,sensor_salinity_mean,sensor_turbidity_max,sensor_turbidity_mean,sensor_ph_mean,sensor_do_mean,sensor_chla_mean
2014-01-01,11.49513812154696,19.25,20.404723756906076,90.26,45.204385964912284,8.080729166666666,9.301527777777778,3.8348214285714284
2014-01-02,,,,592.66,139.82561338289963,8.068854166666666,8.88329861111111,3.68808362369338
2014-01-03,11.543129770992367,23.27,24.244274809160306,359.26,87.26784946236559,8.09632867132867,8.831608391608393,2.3545454545454545
2014-01-04,11.514722222222222,23.886,25.58603125,77.29,15.038105263157894,8.115018181818183,8.042604166666667,1.3529537366548043
2014-01-05,11.695347222222223,22.877,26.14804513888889,10.74,2.929612676056338,8.129375000000001,8.12079861111111,1.7840989399293286
2014-01-06,11.077847222222223,21.731,23.993086805555556,17.74,4.226678321678321,8.142881944444445,8.671254752851711,2.373426573426573
2014-01-07,10.206631944444446,13.326,19.31679513888889,7.08,3.693671328671329,8.150868055555556,9.332743055555556,2.9373776223776225
2014-01-08,10.847534722222223,18.474,25.316722222222225,15.01,4.333506944444444,8.060729166666667,7.465970149253732,2.442604166666667
2014-01-09,8.602916666666665,13.626,17.220746527777777,33.85,15.056736111111112,8.2165625,9.889305555555556,2.6826736111111114
2014-01-10,8.39048611111111,17.037,19.865003472222224,66.3,38.259684210526316,8.223368055555556,9.944131944444443,2.2006643356643356
2014-01-11,9.874375,19.809,25.961885416666668,63.74,53.11159722222222,8.14295138888889,8.718472222222223,1.7953146853146855
2014-01-12,10.3675,25.608,27.97635763888889,78.14,65.50298932384342,8.127638888888889,8.275138888888888,1.9487762237762238
2014-01-13,10.155694444444444,24.633,27.949795138888888,80.76,38.45211805555555,8.141118881118881,8.434255319148937,1.7412587412587412
2014-01-14,9.399965277777778,24.182,25.942732638888888,22.18,1.648923611111111,8.184131944444445,9.141083916083916,0.9335087719298246
2014-01-15,9.316875000000001,23.525,26.558857638888888,21.5,2.6941666666666664,8.175347222222221,9.22420138888889,0.9304166666666666
2014-01-16,9.304409722222223,22.328,25.982496527777776,8.87,1.4960763888888888,8.1809375,9.388715277777777,0.9904861111111111
2014-01-17,9.264340277777778,19.363,22.882208333333335,6.78,1.5093055555555557,8.200383275261325,9.83826388888889,1.171602787456446
