date,sewage_volume
2026-09-10,352428.0
2026-09-09,340735.0
2026-09-08,343478.0
2026-09-07,342173.0
2026-09-06,333862.0
2026-09-05,353708.0
2026-09-04,354431.0
2026-09-03,366330.0
2026-09-02,391660.0
2026-09-01,393439.0
2026-08-31,413898.0
2026-08-30,420921.0
2026-08-29,418829.0
2026-08-28,362991.0
2026-08-27,344972.0
2026-08-26,323870.0
2026-08-25,318550.0
2026-08-24,332301.0
2026-08-23,323130.0
2026-08-22,329180.0
2026-08-21,347775.0
2026-08-20,381566.0
2026-08-19,397753.0
2026-08-18,411227.0
2026-08-17,405304.0
2026-08-16,398325.0
2026-08-15,309030.0
2026-08-14,323747.0
2026-08-13,337078.0
2026-08-12,309612.0
2026-08-11,296586.0
2026-08-10,331395.0
2026-08-09,312652.0
2026-08-08,297299.0
2026-08-07,297952.0
2026-08-06,294329.0
2026-08-05,297345.0
2026-08-04,297208.0
2026-08-03,300233.0
2026-08-02,296985.0
2026-08-01,295835.0
2026-07-31,298007.0
2026-07-30,298537.0
2026-07-29,301635.0
2026-07-28,298600.0
2026-07-27,299887.0
2026-07-26,312839.0
2026-07-25,308293.0
2026-07-24,299996.0
2026-07-23,311833.0
2026-07-22,320116.0
2026-07-21,319714.0
2026-07-20,346717.0
2026-07-19,309251.0
2026-07-18,313662.0
2026-07-17,311380.0
2026-07-16,308826.0
2026-07-15,322184.0
2026-07-14,314074.0
2026-07-13,320977.0
2026-07-12,322076.0
2026-07-11,326628.0
2026-07-10,319665.0
2026-07-09,319090.0
2026-07-08,313980.0
2026-07-07,333760.0
2026-07-06,333588.0
2026-07-05,354944.0
2026-07-04,353226.0
2026-07-03,364646.0
2026-07-02,404556.0
2026-07-01,384847.0
2026-06-30,308086.0
2026-06-29,327477.0
2026-06-28,304289.0
2026-06-27,308247.0
2026-06-26,319816.0
2026-06-25,318939.0
2026-06-24,320803.0
2026-06-23,301759.0
2026-06-22,331625.0
2026-06-21,353693.0
2026-06-20,388531.0
2026-06-19,319578.0
2026-06-18,297710.0
2026-06-17,298420.0
2026-06-16,293997.0
2026-06-15,301616.0
2026-06-14,294074.0
2026-06-13,291043.0
2026-06-12,297983.0
2026-06-11,293677.0
2026-06-10,296116.0
2026-06-09,297849.0
2026-06-08,306165.0
2026-06-07,292158.0
2026-06-06,305559.0
2026-06-05,313792.0
2026-06-04,313617.0
2026-06-03,356468.0
2026-06-02,387359.0
2026-06-01,311750.0
2026-05-31,301433.0
2026-05-30,310560.0
2026-05-29,320471.0
2026-05-28,359655.0
2026-05-27,368543.0
2026-05-26,307833.0
2026-05-25,306708.0
2026-05-24,302971.0
2026-05-23,307084.0
2026-05-22,333852.0
2026-05-21,391104.0
2026-05-20,317530.0
2026-05-19,296286.0
2026-05-18,308043.0
2026-05-17,301232.0
2026-05-16,296804.0
2026-05-15,300642.0
2026-05-14,300415.0
2026-05-13,300138.0
2026-05-12,296100.0
2026-05-11,303105.0
2026-05-10,295552.0
2026-05-09,304489.0
2026-05-08,296910.0
2026-05-07,301205.0
2026-05-06,307049.0
2026-05-05,307779.0
2026-05-04,340089.0
2026-05-03,324345.0
2026-05-02,314006.0
2026-05-01,362383.0
2026-04-30,296683.0
2026-04-29,303313.0
2026-04-28,292964.0
2026-04-27,305877.0
2026-04-26,298669.0
2026-04-25,294619.0
2026-04-24,303459.0
2026-04-23,304923.0
2026-04-22,300554.0
2026-04-21,309284.0
2026-04-20,324441.0
2026-04-19,317873.0
2026-04-18,355049.0
2026-04-17,312159.0
2026-04-16,312031.0
2026-04-15,308807.0
2026-04-14,312214.0
2026-04-13,326568.0
2026-04-12,323600.0
2026-04-11,341970.0
2026-04-10,343555.0
2026-04-09,302286.0
2026-04-08,319735.0
2026-04-07,317744.0
2026-04-06,344129.0
2026-04-05,343058.0
2026-04-04,324665.0
2026-04-03,302444.0
2026-04-02,309036.0
2026-04-01,319177.0
2026-03-31,336507.0
2026-03-30,301941.0
2026-03-29,292896.0
2026-03-28,292704.0
2026-03-27,288345.0
2026-03-26,292173.0
2026-03-25,287891.0
