date,임랑해수욕장_정점명,임랑해수욕장_정점코드,임랑해수욕장_유속(cm/s),임랑해수욕장_유향(deg),임랑해수욕장_수온(℃),임랑해수욕장_염분(PSU),임랑해수욕장_유의파고(m),임랑해수욕장_유의파주기(sec),임랑해수욕장_최대파고(m),임랑해수욕장_최대파주기(sec),임랑해수욕장_풍속(m/s),임랑해수욕장_풍향(deg),임랑해수욕장_기온(℃),임랑해수욕장_기압(hPa),임랑해수욕장_시정(m)
2019-05-19,,,22.323344947735194,154.12543554006967,17.008501742160277,33.9198606271777,2.38,5.863194444444444,3.56,5.75,9.9,123.45138888888889,19.122916666666665,1011.4225694444444,
2019-05-20,,,23.67013888888889,119.36805555555556,16.426319444444445,33.93059027777778,2.49,5.647916666666666,3.63,5.574652777777778,9.1,230.85763888888889,18.482986111111114,1003.8670138888889,
2019-05-21,,,20.073851590106006,136.74204946996466,15.776325088339222,34.00780918727915,0.73,4.372280701754385,1.26,4.460701754385965,11.3,234.11228070175437,16.55824561403509,1006.1242105263159,
2019-05-22,,,21.140625,142.63888888888889,15.55048611111111,34.07975694444444,1.01,3.9972222222222222,1.52,3.9322916666666665,10.3,224.13541666666666,17.900347222222223,1006.5072916666666,
2019-05-23,,,18.890972222222224,130.72569444444446,15.432951388888888,34.12756944444445,0.86,3.813888888888889,1.38,3.765625,12.2,203.37152777777777,17.139583333333334,1007.8927083333333,
2019-05-24,,,19.596515679442508,123.15679442508711,15.463763066202091,34.125191637630664,0.79,3.9878048780487805,1.27,3.917770034843206,11.6,218.6445993031359,17.270383275261324,1010.6634146341464,
2019-05-25,,,13.743402777777778,150.54513888888889,15.968333333333334,34.105381944444446,0.64,3.963194444444445,1.05,3.8836805555555554,8.1,190.13541666666666,20.17465277777778,1013.2663194444444,
2019-05-26,,,16.739930555555556,110.19791666666667,16.244479166666665,34.07902777777778,0.51,2.9989583333333334,0.9,3.0069444444444446,9.4,210.97569444444446,18.775,1015.4913194444445,
2019-05-27,,,15.489895470383276,126.53310104529616,16.306689895470384,33.991777003484316,2.42,4.707291666666666,3.53,4.692708333333333,15.7,205.05208333333334,18.083333333333332,1008.1833333333333,
2019-05-28,,,13.589895470383276,189.8048780487805,16.278257839721253,33.90066202090592,1.54,6.477003484320558,2.15,6.52787456445993,7.9,189.40766550522648,18.28710801393728,1008.816724738676,
2019-05-29,,,8.853124999999999,161.76388888888889,16.934652777777778,33.84059027777778,0.72,4.499652777777778,1.23,4.590277777777778,11.1,241.83680555555554,18.593055555555555,1009.0583333333333,
2019-05-30,,,14.479861111111111,172.05902777777777,16.8659375,33.84809027777778,0.62,3.8114583333333334,1.04,3.765625,10.6,231.63194444444446,19.48263888888889,1010.0586805555556,
2019-05-31,,,12.214982578397212,179.1219512195122,16.87547038327526,33.86358885017422,0.76,3.224652777777778,1.29,3.1788194444444446,10.6,240.89236111111111,18.28576388888889,1009.9065972222221,
2019-06-01,,,21.739583333333332,184.60416666666666,16.39625,33.894618055555554,0.52,3.398263888888889,0.95,3.3524305555555554,7.8,203.76041666666666,17.911458333333332,1009.6173611111111,
2019-06-02,,,21.357491289198606,156.14285714285714,16.41526132404181,33.871602787456446,0.29,3.375261324041812,0.52,3.3101045296167246,6.0,212.26480836236934,17.938675958188153,1007.0864111498257,
2019-06-03,,,25.08736842105263,146.84912280701755,16.18101754385965,33.79129824561404,0.51,3.561888111888112,0.82,3.4933566433566434,7.7,222.8006993006993,18.14965034965035,1007.6678321678322,
2019-06-04,,,27.172222222222224,145.1875,16.07625,33.789340277777775,0.35,3.3020833333333335,0.58,3.1649305555555554,5.6,203.34375,19.482291666666665,1008.6968750000001,
2019-06-05,,,31.441549295774646,140.6549295774648,16.151795774647887,33.78700704225352,0.69,4.404878048780488,1.11,4.371080139372823,6.1,183.3588850174216,19.64425087108014,1011.1996515679442,
2019-06-06,,,28.899651567944254,122.74912891986062,16.47794425087108,33.74965156794425,0.34,4.618118466898955,0.51,4.676306620209059,7.2,219.09407665505228,18.76411149825784,1011.0198606271778,
2019-06-07,,,32.0198606271777,112.41114982578397,17.274564459930314,33.18867595818815,2.19,6.098954703832753,3.17,6.005226480836237,7.7,136.0731707317073,18.643205574912894,1001.5742160278745,
2019-06-08,,,32.81363636363637,157.7762237762238,18.421048951048952,33.22447552447553,2.34,6.982867132867132,3.26,6.822027972027971,8.9,125.25524475524476,18.64825174825175,1008.7769230769231,
2019-06-09,,,22.82439024390244,176.66202090592336,18.562020905923344,33.10247386759582,1.29,6.092334494773519,2.02,6.119163763066203,9.0,64.61672473867596,18.033101045296167,1006.9365853658536,
2019-06-10,,,19.8808362369338,220.14285714285714,18.896550522648084,32.82156794425087,1.23,5.380836236933797,2.05,5.366550522648084,11.7,90.46341463414635,18.231010452961673,1006.7261324041813,
2019-06-11,,,21.01951219512195,234.26829268292684,19.488188153310105,32.229268292682924,1.54,5.961805555555555,2.18,5.934027777777778,11.4,89.47222222222223,18.00277777777778,1008.71875,
2019-06-12,,,19.169122807017544,194.23157894736843,20.576140350877193,30.02084210526316,1.07,5.798606271777004,1.65,5.7397212543554,7.4,80.57839721254355,18.555052264808364,1011.0348432055749,
2019-06-13,,,15.496167247386758,177.77003484320556,21.188919860627177,32.225853658536586,0.57,4.906968641114982,0.85,4.968641114982578,4.4,208.47038327526133,18.901045296167247,1010.9167247386758,
2019-06-14,,,16.143971631205677,179.4964539007092,21.333049645390073,31.663120567375888,0.42,4.330851063829787,0.73,4.274822695035461,7.0,221.0886524822695,19.97340425531915,1005.8127659574468,
2019-06-15,,,20.469026548672566,175.09734513274336,20.89894736842105,31.269649122807017,1.06,5.129203539823009,1.55,5.030973451327434,7.2,107.76106194690266,19.28141592920354,999.8530973451327,
2019-06-16,,,27.901769911504427,210.7797356828194,20.69546255506608,32.34713656387665,1.16,6.08590308370044,1.74,6.02863436123348,7.9,133.1762114537445,19.270925110132158,1006.5290748898678,
2019-06-17,,,21.427573529411767,178.1985294117647,20.64378676470588,32.4802205882353,1.67,9.38860294117647,2.25,10.118382352941175,10.8,223.9558823529412,19.95110294117647,1011.8143382352941,
2019-06-18,,,28.878214285714286,161.84642857142856,19.314285714285713,33.10307142857143,1.56,8.624642857142858,2.02,9.083928571428572,8.2,204.37857142857143,20.565714285714286,1009.6992857142857,
2019-06-19,,,30.18028169014085,174.93661971830986,17.978063380281693,32.957535211267604,0.91,6.169366197183098,1.2,6.780633802816902,6.1,201.47535211267606,20.926056338028168,1006.5260563380283,
2019-06-20,,,25.86598360655738,152.35655737704917,17.857786885245904,32.351229508196724,0.5,5.145081967213115,0.85,5.399590163934426,9.1,226.95081967213116,20.61926229508197,1005.7413934426229,
2019-06-21,,,32.717021276595744,228.86170212765958,18.342736842105264,32.41947368421052,0.54,3.721276595744681,0.79,3.6648936170212765,9.2,80.63157894736842,20.332631578947368,1005.4387096774194,
2019-06-22,,,23.292657342657343,137.62237762237763,18.762342657342657,31.54027972027972,1.15,5.138327526132405,1.84,5.134146341463414,9.3,102.21254355400697,19.59616724738676,1007.1686411149826,
2019-06-23,,,19.335540069686413,180.82578397212544,19.842160278745645,31.0502787456446,1.0,4.879790940766551,1.72,4.8,10.8,56.55749128919861,19.566202090592334,1008.4341463414634,
2019-06-24,,,12.739583333333334,142.36458333333334,20.416354166666665,30.42795138888889,0.72,5.016666666666667,1.12,4.986111111111111,5.8,174.24305555555554,20.078472222222224,1013.2118055555555,
2019-06-25,,,10.296875,173.20138888888889,21.21375,30.003715277777776,0.48,4.828472222222222,1.0,4.897569444444445,4.0,175.60416666666666,20.64548611111111,1015.5760416666667,
2019-06-26,,,12.933916083916083,213.83566433566435,21.458356643356645,28.802237762237763,1.2,4.244599303135889,1.96,4.188153310104529,9.4,171.73867595818814,20.500348432055752,1010.3675958188153,
2019-06-27,,,11.824561403508772,163.43859649122808,21.74480701754386,26.957894736842107,1.33,4.944405594405594,1.94,4.926223776223776,8.3,180.26223776223776,22.196153846153848,1001.1363636363636,
2019-06-28,,,19.628124999999997,214.50694444444446,21.12826388888889,27.526666666666667,0.71,4.410763888888889,1.08,4.366319444444445,7.5,123.76041666666667,21.545833333333334,1003.1017361111111,
2019-06-29,,,26.50175438596491,207.80701754385964,20.883368421052634,26.9179298245614,1.87,5.18006993006993,2.54,5.325174825174825,14.0,190.4965034965035,21.081818181818182,999.027972027972,
2019-06-30,,,17.91602787456446,179.3170731707317,20.755574912891987,27.18149825783972,1.35,6.32822299651568,2.04,6.296864111498258,9.1,203.80836236933797,21.81114982578397,999.577700348432,
2019-07-01,,,17.56527777777778,169.21875,19.58013888888889,28.154131944444444,0.67,4.813194444444445,1.14,4.848958333333333,8.8,203.81944444444446,21.150694444444444,1004.5187500000001,
2019-07-02,,,31.033333333333335,119.25,17.789965277777778,31.680347222222224,0.64,4.519791666666666,1.02,4.602430555555555,8.4,193.71875,21.021527777777777,1007.8972222222224,
2019-07-03,,,40.52013888888889,162.08333333333334,17.37065972222222,31.91465277777778,0.4,4.760416666666667,0.61,4.84375,7.3,191.30555555555554,19.556597222222223,1007.6135416666667,
2019-07-04,,,37.43356643356643,169.94055944055944,17.644510489510488,31.528776223776223,0.48,6.802097902097902,0.72,7.025524475524476,3.7,214.38111888111888,20.822727272727274,1005.8646853146853,
2019-07-05,,,42.13205574912892,184.00696864111498,17.848606271777005,30.96278745644599,0.5,6.610763888888889,0.78,6.901041666666667,4.6,137.51736111111111,19.87951388888889,1003.8315972222222,
2019-07-06,,,44.530902777777776,186.10763888888889,19.2009375,31.195277777777775,1.45,5.153472222222223,2.47,5.126736111111111,12.0,53.49305555555556,22.015972222222224,1004.7003472222223,
2019-07-07,,,22.331944444444446,207.54513888888889,20.95590277777778,31.11607638888889,1.62,5.876736111111111,2.41,5.878472222222222,10.3,45.923611111111114,21.84375,1008.0760416666667,
2019-07-08,,,17.373684210526317,155.42456140350876,21.443719298245615,30.662947368421055,1.1,5.50979020979021,1.95,5.549300699300699,9.7,59.27972027972028,21.613636363636363,1007.4678321678322,
2019-07-09,,,16.762587412587415,171.80769230769232,21.77,30.112307692307695,1.06,5.246503496503497,1.63,5.2622377622377625,10.5,53.36013986013986,21.63006993006993,1006.7216783216784,
2019-07-10,,,18.582042253521127,206.01408450704224,21.840352112676054,29.60387323943662,1.01,5.026315789473684,1.87,5.047719298245614,11.9,48.18245614035088,21.712280701754388,1005.5031578947369,
2019-07-11,,,16.60211267605634,139.67957746478874,22.376549295774648,29.376901408450706,1.87,5.898245614035088,3.1,5.792982456140351,10.2,194.5157894736842,23.052982456140352,1002.0129824561404,
2019-07-12,,,10.083157894736841,126.36842105263158,22.458947368421054,29.272631578947372,1.07,5.642657342657342,1.85,5.802797202797202,7.2,133.56293706293707,22.498251748251747,1005.9979020979022,
2019-07-13,,,16.092957746478874,133.04577464788733,22.222359154929578,29.480140845070423,0.65,5.093684210526316,1.15,5.527368421052631,8.1,221.35438596491227,22.17157894736842,1002.1508771929824,
2019-07-14,,,21.793379790940765,145.55052264808361,22.088885017421603,29.513031358885016,0.75,5.58815331010453,1.2,5.653310104529616,6.9,141.10452961672473,22.066202090592334,1002.7006968641114,
2019-07-15,,,19.267132867132865,171.43006993006992,22.84951048951049,29.353776223776226,0.83,6.0895470383275265,1.17,6.505226480836237,5.3,111.89198606271778,22.799651567944252,1007.8947735191638,
2019-07-16,,,16.880782918149468,167.10320284697508,23.293950177935944,28.89526690391459,0.73,5.136971830985916,1.26,5.247535211267605,5.7,113.36267605633803,22.963732394366197,1011.4823943661971,
2019-07-17,,,15.74835164835165,167.0,23.477362637362635,28.62978021978022,0.82,4.433333333333334,1.14,4.32140350877193,6.3,89.49824561403508,23.152982456140354,1012.4515789473685,
2019-07-18,,,20.847719298245615,160.22456140350877,23.222842105263158,28.177298245614033,0.6,4.951929824561403,0.89,4.926315789473684,4.5,235.8035087719298,22.467719298245616,1010.4052631578948,
2019-07-19,,,31.985409252669037,178.61921708185054,22.672775800711744,27.511459074733096,2.26,5.453191489361702,3.12,5.422340425531915,9.3,183.8758865248227,23.44858156028369,1008.5656028368794,
2019-07-20,,,29.630419580419577,212.7027972027972,22.30534965034965,26.531328671328673,3.84,8.176223776223777,5.66,8.241258741258742,14.8,142.6993006993007,23.62832167832168,1003.4111888111887,
2019-07-21,,,22.81316725978648,128.30960854092527,20.927758007117436,26.29288256227758,2.86,6.1807829181494665,4.1,6.193238434163701,12.2,197.62633451957296,22.673309608540926,1004.0743772241993,
2019-07-22,,,23.154063604240285,139.01766784452298,18.09236749116608,26.95236749116608,0.8,4.659010600706714,1.15,4.742049469964664,10.7,209.1660777385159,22.049823321554772,1005.8498233215548,
2019-07-23,,,14.372438162544169,135.4946996466431,17.68190812720848,26.7795406360424,0.74,4.002826855123675,1.25,4.019434628975265,10.0,198.84805653710248,21.14593639575972,1005.1512367491166,
2019-07-24,,,10.787900355871887,170.52669039145908,17.896370106761566,26.38508896797153,0.69,3.8722419928825618,1.16,3.98220640569395,9.9,206.31316725978647,21.330249110320285,1005.2060498220642,
2019-07-25,,,9.450883392226148,138.76325088339223,16.64339222614841,25.988021201413428,0.6,3.8281690140845073,1.01,3.7940140845070425,8.4,196.68309859154928,20.77781690140845,1006.181338028169,
2019-07-26,,,9.43584229390681,143.90322580645162,16.65673835125448,25.4715770609319,0.51,3.5085714285714285,0.93,3.5067857142857144,8.7,204.18214285714285,21.25464285714286,1005.6182142857142,
2019-07-27,,,15.488070175438597,196.11929824561403,17.648070175438598,24.42982456140351,0.46,3.7898245614035084,0.74,3.772631578947369,8.2,207.57543859649124,22.282456140350877,1006.8673684210527,
2019-07-28,,,15.278745644599303,163.3588850174216,19.293519163763065,23.258013937282232,0.87,3.912891986062718,1.37,3.951219512195122,10.0,202.25783972125436,23.301045296167246,1010.1219512195122,
2019-07-29,,,21.367957746478872,169.58802816901408,19.982042253521126,21.333204225352112,0.68,4.0602112676056334,1.21,4.154929577464789,10.5,203.11267605633802,23.74718309859155,1010.606338028169,
2019-07-30,,,30.25649122807018,129.97543859649122,20.353658536585368,20.029790940766553,0.91,3.388850174216028,1.67,3.3634146341463413,10.5,202.97560975609755,23.542857142857144,1009.1912891986063,
2019-07-31,,,36.97789473684211,127.16491228070176,19.787754385964913,18.744561403508772,0.65,3.540701754385965,1.15,3.5228070175438595,10.3,202.95087719298246,23.806315789473686,1010.1231578947368,
2019-08-01,,,37.609219858156024,151.94326241134752,20.44744680851064,18.325283687943262,0.63,3.582685512367491,0.92,3.5731448763250886,9.7,204.5547703180212,24.368904593639574,1011.2491166077739,
2019-08-02,,,37.25300353356891,149.67137809187278,20.049010600706712,17.41879858657244,0.35,4.20565371024735,0.57,4.2286219081272085,3.3,235.226148409894,25.908480565371026,1011.1731448763251,
2019-08-03,,,40.12355072463768,162.3586956521739,21.042671480144403,16.99018050541516,0.36,3.8949999999999996,0.62,3.7910714285714286,5.0,138.19642857142858,25.04785714285714,1011.5617857142856,
2019-08-04,,,42.418661971830986,134.2288732394366,22.78637323943662,16.594612676056336,0.43,4.016549295774648,0.7,3.9228873239436615,3.9,200.71830985915494,25.804577464788732,1010.9271126760563,
2019-08-05,,,41.17544483985765,173.97864768683274,23.816868327402133,16.21661921708185,0.53,3.8911347517730497,0.82,3.8067375886524824,7.3,134.61702127659575,25.668439716312058,1009.8152482269504,
2019-08-06,,,22.538214285714286,198.84642857142856,24.72875,15.58307142857143,3.16,5.353191489361702,4.31,5.2613475177304965,17.2,61.255319148936174,25.829432624113473,1004.5308510638298,
2019-08-07,,,23.828771929824562,92.21052631578948,25.5159649122807,15.06178947368421,2.04,4.61578947368421,2.88,4.571929824561403,10.6,201.84912280701755,26.19543859649123,1006.0231578947368,
2019-08-08,,,23.705599999999997,121.832,25.283187250996015,14.857290836653386,0.54,4.022304832713755,0.95,3.9810408921933087,5.1,222.74632352941177,26.666176470588233,1008.3705882352941,
2019-08-09,,,14.904838709677419,131.44354838709677,24.99274193548387,14.725725806451614,0.51,6.163779527559055,0.79,6.777165354330709,3.4,273.15748031496065,26.318897637795274,1007.9897637795275,
2019-08-10,,,10.6,200.6,24.599999999999998,14.815,,,,,3.7,55.6,26.660000000000004,1007.9666666666667,
2019-08-11,,,,,,,,,,,,,,,
2019-08-12,,,,,,,,,,,,,,,
2019-08-13,,,,,,,,,,,,,,,
2019-08-14,,,,,,,,,,,,,,,
2019-08-15,,,,,,,,,,,,,,,
2019-08-16,,,,,,,,,,,,,,,
2019-08-17,,,,,,,,,,,,,,,
2019-08-18,,,,,,,,,,,,,,,
2019-08-19,,,,,,,,,,,,,,,
2019-08-20,,,,,,,,,,,,,,,
2019-08-21,,,11.417204301075268,132.70967741935485,26.545483870967743,15.670860215053764,0.53,5.10752688172043,0.84,5.075268817204301,5.8,211.13978494623655,26.131182795698923,1008.9978260869566,
2019-08-22,,,16.23843416370107,95.6049822064057,25.885871886121,15.619395017793595,1.72,5.232028469750889,2.53,5.183274021352313,11.2,216.12099644128114,26.672597864768683,1005.7526690391459,
2019-08-23,,,12.585355648535565,210.5481171548117,25.104771784232366,15.451410788381743,0.98,4.968595041322314,1.42,4.863223140495868,5.7,250.6122448979592,25.648571428571426,1007.8163265306123,
2019-08-24,,,13.591304347826087,181.5169082125604,25.289380952380956,15.043000000000001,0.46,4.019431279620854,0.98,3.9616113744075827,5.0,289.35648148148147,24.825462962962963,1010.1120370370371,
2019-08-25,,,16.316541353383457,118.93984962406014,25.8192700729927,15.505912408759123,0.5,3.820408163265306,0.67,4.261224489795918,6.6,265.53205128205127,23.853846153846153,1012.5224358974359,
2019-08-26,,,13.02962962962963,67.48148148148148,25.9553125,15.4321875,0.59,3.728947368421052,0.82,4.118421052631579,4.5,275.7142857142857,23.478048780487807,1012.6738095238096,
2019-08-27,,,24.42,81.25714285714285,25.52285714285714,32.189142857142855,0.0,5.68235294117647,0.0,5.606060606060606,4.0,101.28571428571429,23.814285714285713,1008.2199999999999,
2019-08-28,,,25.72689075630252,170.85294117647058,25.237238493723847,32.152384937238494,0.77,5.956066945606694,1.36,6.156903765690377,5.9,235.87029288702928,24.01506276150628,1007.9125523012552,
2019-08-29,,,22.1402390438247,126.03187250996017,24.784860557768923,32.25374501992032,0.76,4.9282868525896415,14.43,5.282868525896414,6.6,238.70517928286853,23.9601593625498,1007.815139442231,
2019-08-30,,,26.25091743119266,103.80275229357798,23.496330275229358,32.51775229357798,0.54,3.479816513761468,1.07,3.8394495412844036,7.6,231.02293577981652,24.21559633027523,1009.1165137614679,
2019-08-31,,,29.568,180.408,21.694,32.88904,0.45,3.4688000000000003,0.84,3.93,7.5,248.472,23.022,1013.7676,
2019-09-01,,,39.2,185.06451612903226,21.028225806451612,33.01064516129033,0.37,3.5725806451612905,0.74,3.685483870967742,2.7,229.76612903225808,22.13790322580645,1017.8637096774194,
2019-09-02,,,34.61042471042471,192.7027027027027,21.459073359073358,32.745444015444015,0.43,3.65019305019305,0.75,3.6505791505791505,4.1,160.1119691119691,21.08918918918919,1018.0451737451738,
2019-09-03,,,21.433088235294118,194.83823529411765,21.67904411764706,23.666985294117648,0.46,3.7746323529411767,0.73,3.6378676470588234,6.0,125.55514705882354,22.51139705882353,1016.1055147058823,
2019-09-04,,,19.858362989323844,227.36654804270464,22.981032028469752,13.132170818505337,0.75,5.297153024911032,1.13,5.142348754448399,4.1,161.66548042704628,23.82846975088968,1013.9886120996441,
2019-09-05,,,8.799645390070921,180.10283687943263,23.792836879432624,12.75450354609929,0.84,6.010283687943263,1.33,5.99468085106383,4.2,218.12056737588654,25.137234042553192,1012.5659574468084,
2019-09-06,,,10.06725352112676,178.01760563380282,24.209330985915493,12.156232394366198,1.28,6.069718309859155,2.08,6.068661971830986,7.7,84.83450704225352,25.844718309859154,1009.7852112676056,
2019-09-07,,,14.647857142857141,137.26071428571427,24.734321428571427,11.49832142857143,4.06,8.66357142857143,5.77,8.846428571428572,13.1,167.2642857142857,26.17142857142857,1004.6278571428571,
2019-09-08,,,14.166192170818505,110.65480427046263,22.994021352313165,11.618718861209965,1.01,6.78896797153025,1.52,6.868327402135232,4.8,203.42348754448398,24.502846975088968,1007.9953736654804,
2019-09-09,,,15.47883211678832,155.04014598540147,22.791021897810218,11.500109489051095,0.85,6.552919708029197,1.42,6.682481751824818,2.4,200.94525547445255,25.665328467153284,1010.1178832116788,
