date,해운대해수욕장_정점명,해운대해수욕장_정점코드,해운대해수욕장_유속(cm/s),해운대해수욕장_유향(deg),해운대해수욕장_수온(℃),해운대해수욕장_염분(PSU),해운대해수욕장_유의파고(m),해운대해수욕장_유의파주기(sec),해운대해수욕장_최대파고(m),해운대해수욕장_최대파주기(sec),해운대해수욕장_풍속(m/s),해운대해수욕장_풍향(deg),해운대해수욕장_기온(℃),해운대해수욕장_기압(hPa),해운대해수욕장_시정(m)
2016-01-01,,,14.47719298245614,14.0,73.52380952380952,32.81824561403509,0.7,,1.0,,7.9,,6.359298245614036,1029.698596491228,
2016-01-02,,,13.506944444444445,14.0,82.79389312977099,32.53784722222222,0.7,,1.1,,8.4,,9.401041666666666,1023.5645833333333,
2016-01-03,,,12.796503496503497,14.0,79.02857142857142,32.17482517482517,0.5,,0.8,,6.8,,11.555594405594405,1018.6034965034964,
2016-01-04,,,12.633802816901408,13.904929577464788,85.78985507246377,31.79823943661972,0.6,,1.0,,5.6,,11.555281690140845,1019.8031690140845,
2016-01-05,,,13.351398601398602,13.73076923076923,87.91463414634147,31.55664335664336,0.5,,0.9,,7.1,,7.754545454545455,1023.351048951049,
2016-01-06,,,11.44390243902439,13.64459930313589,73.25,31.2780487804878,0.4,,0.7,,8.2,,6.799303135888502,1021.6954703832752,
2016-01-07,,,13.686062717770035,13.731707317073171,78.29411764705883,31.083623693379792,0.5,,0.8,,7.6,,5.197909407665505,1021.1651567944251,
2016-01-08,,,16.158333333333335,13.399305555555555,77.69565217391305,30.99409722222222,0.5,,0.8,,8.4,,3.6434027777777778,1020.5406250000001,
2016-01-09,,,18.978321678321677,13.37062937062937,87.94871794871794,30.88216783216783,0.6,,1.1,,7.3,,4.710839160839161,1023.2965034965034,
2016-01-10,,,20.034843205574912,13.662020905923345,87.50909090909092,30.76794425087108,0.5,,0.8,,6.7,,5.486759581881533,1024.5104529616724,
2016-01-11,,,21.563763066202092,13.369337979094077,80.54285714285714,30.62090592334495,0.5,,0.8,,9.8,,5.826480836236934,1022.8763066202091,
2016-01-12,,,20.19721254355401,13.229965156794425,87.49056603773585,30.557491289198605,0.8,,1.3,,7.2,,4.602090592334495,1019.9027874564459,
2016-01-13,,,20.157839721254355,13.0,83.67073170731707,30.43519163763066,0.7,,1.1,,10.5,,2.590940766550523,1018.3411149825785,
2016-01-14,,,20.745993031358886,13.013937282229966,81.1076923076923,30.489895470383278,0.8,,1.4,,7.5,,3.677351916376307,1020.4982578397213,
2016-01-15,,,18.099649122807016,13.0,86.02857142857142,30.509824561403505,0.6,,0.9,,5.0,,5.115438596491228,1021.0294736842106,
2016-01-16,,,15.98327526132404,13.0,82.3970588235294,30.52752613240418,0.4,,0.7,,4.5,,6.704878048780488,1021.6655052264808,
